IP-calls,nodes explored,filename,strategy_subproblem_selection,strategy_node_priority,strategy_reduction,strategy_update_node_priority,strategy_refine_with_integer_gap,strategy_search_method,strategy_refine_method,time_total,subproblem_points,reduced_generator_points,subproblem_points_generated,mgs_points,Yn_points,hYn_points,subproblem_points_vector,subproblem_points_generated_vector,mgs_points_vector,generator_points_vector,time_IP-calls,count_IP-calls,time_nodes explored,count_nodes explored,time_subproblem_points_vector,count_subproblem_points_vector,time_subproblem_points_generated_vector,count_subproblem_points_generated_vector,time_mgs_points_vector,count_mgs_points_vector,time_ASMO.solve,count_ASMO.solve,time_ASMO._set_global_upper_bound,count_ASMO._set_global_upper_bound,time_ASMO._update_global_upper_bound,count_ASMO._update_global_upper_bound,time_ASMO._set_incumbent,count_ASMO._set_incumbent,time_CVRP._update_bounds_from_node,count_CVRP._update_bounds_from_node,time_ASMO._reduce_upper_bounds,count_ASMO._reduce_upper_bounds,timeout
394,196,./instances/msp/2obj/Lyngesen24-msp-2-100|100-uu-2_3.json,sequential,largest,none,all,False,bbm,slow,1.6949950829148293,200,200,200,200,344,344,100|100,100|100,100|100,100|100,,,,,,,,,,,0,2,0.147,4,0,2,0.147,4,1.024,388,0.0,390,False
394,196,./instances/msp/2obj/Lyngesen24-msp-2-100|100-uu-2_3.json,sequential,largest,100,all,False,bbm,slow,8.3386674169451,200,200,200,200,344,344,100|100,100|100,100|100,100|100,,,,,,,,,,,0,2,0.421,8,0,2,0.417,8,2.38,388,11.565,390,False
394,196,./instances/msp/2obj/Lyngesen24-msp-2-100|100-uu-2_3.json,sequential,largest,50,all,False,bbm,slow,24.777813958004117,200,200,200,200,344,344,100|100,100|100,100|100,100|100,,,,,,,,,,,0,2,0.768,12,0,2,0.756,12,2.428,388,44.069,390,False
302,102,./instances/msp/2obj/Lyngesen24-msp-2-100|100-uu-2_3.json,sequential,largest,first,all,False,phase1,slow,1.2262457920005545,200,200,200,200,344,344,100|100,100|100,100|100,100|100,,,,,,,,,,,0,2,0.277,6,0,2,0.276,6,0.432,200,0.135,202,False
302,102,./instances/msp/2obj/Lyngesen24-msp-2-100|100-uu-2_3.json,sequential,largest,none,all,False,phase1,slow,1.1141529999440536,200,200,200,200,344,344,100|100,100|100,100|100,100|100,,,,,,,,,,,0,2,0.148,4,0,2,0.148,4,0.377,200,0.0,202,False
302,102,./instances/msp/2obj/Lyngesen24-msp-2-100|100-uu-2_3.json,sequential,largest,100,all,False,phase1,slow,16.34252758405637,200,200,200,200,344,344,100|100,100|100,100|100,100|100,,,,,,,,,,,0,2,0.447,8,0,2,0.441,8,0.43,200,30.422,202,False
302,102,./instances/msp/2obj/Lyngesen24-msp-2-100|100-uu-2_3.json,sequential,largest,50,all,False,phase1,slow,20.93974658299703,200,200,200,200,344,344,100|100,100|100,100|100,100|100,,,,,,,,,,,0,2,0.538,10,0,2,0.528,10,1.04,200,38.875,202,False
335,150,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-mmm-3_1.json,sequential,largest,first,all,False,bbm,slow,2.172901040990837,150,82,150,82,758,758,50|50|50,50|50|50,18|31|33,18|31|33,,,,,,,,,,,0,2,0.537,6,0,2,0.532,6,0.465,294,1.14,296,False
335,150,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-mmm-3_1.json,sequential,largest,none,all,False,bbm,slow,1.4821778748882934,150,82,150,82,758,758,50|50|50,50|50|50,18|31|33,18|31|33,,,,,,,,,,,0,2,0.233,4,0,2,0.231,4,0.431,294,0.0,296,False
333,149,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-mmm-3_1.json,sequential,largest,100,all,False,bbm,slow,72.94599649996962,150,82,150,82,758,758,50|50|50,50|50|50,18|31|33,18|31|33,,,,,,,,,,,0,2,0.923,8,0,2,0.907,8,2.736,292,139.793,294,False
333,149,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-mmm-3_1.json,sequential,largest,50,all,False,bbm,slow,76.67649079207331,150,82,150,82,758,758,50|50|50,50|50|50,18|31|33,18|31|33,,,,,,,,,,,0,2,1.232,10,0,2,1.205,10,3.154,292,147.064,294,False
291,99,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-mmm-3_1.json,sequential,largest,first,all,False,phase1,slow,1.7685367920203134,150,82,150,82,758,758,50|50|50,50|50|50,18|31|33,18|31|33,,,,,,,,,,,0,2,0.368,6,0,2,0.363,6,0.293,192,1.042,194,False
291,99,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-mmm-3_1.json,sequential,largest,none,all,False,phase1,slow,1.1643966250121593,150,82,150,82,758,758,50|50|50,50|50|50,18|31|33,18|31|33,,,,,,,,,,,0,2,0.183,4,0,2,0.181,4,0.269,192,0.0,194,False
291,99,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-mmm-3_1.json,sequential,largest,100,all,False,phase1,slow,1.688794375048019,150,82,150,82,758,758,50|50|50,50|50|50,18|31|33,18|31|33,,,,,,,,,,,0,2,0.361,6,0,2,0.357,6,0.291,192,1.025,194,False
285,95,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-mmm-3_1.json,sequential,largest,50,all,False,phase1,slow,53.95257504098117,150,82,148,82,758,758,50|50|50,50|48|50,18|31|33,18|31|33,,,,,,,,,,,0,2,0.587,8,0,2,0.573,8,1.559,184,103.903,186,False
397,110,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-ull-3_5.json,sequential,largest,first,all,False,bbm,slow,10.021209208993241,150,103,122,103,654,654,50|50|50,22|50|50,3|50|50,3|50|50,,,,,,,,,,,0,2,0.54,6,0,2,0.524,6,0.496,214,17.17,216,False
469,146,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-ull-3_5.json,sequential,largest,none,all,False,bbm,slow,1.3933666669763625,150,103,150,103,654,654,50|50|50,50|50|50,3|50|50,3|50|50,,,,,,,,,,,0,2,0.244,4,0,2,0.236,4,0.456,286,0.0,288,False
397,110,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-ull-3_5.json,sequential,largest,100,all,False,bbm,slow,125.12269491702318,150,103,122,103,654,654,50|50|50,22|50|50,3|50|50,3|50|50,,,,,,,,,,,0,2,0.779,8,0,2,0.753,8,1.451,214,246.169,216,False
397,110,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-ull-3_5.json,sequential,largest,50,all,False,bbm,slow,157.91611604206264,150,103,122,103,654,654,50|50|50,22|50|50,3|50|50,3|50|50,,,,,,,,,,,0,2,1.108,10,0,2,1.072,10,1.942,214,311.057,216,False
301,101,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-ull-3_5.json,sequential,largest,first,all,False,phase1,slow,9.845904833055101,150,103,122,103,654,654,50|50|50,22|50|50,3|50|50,3|50|50,,,,,,,,,,,0,2,0.493,6,0,2,0.477,6,0.454,196,17.136,198,False
344,116,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-ull-3_5.json,sequential,largest,none,all,False,phase1,slow,1.1826048749499023,150,103,150,103,654,654,50|50|50,50|50|50,3|50|50,3|50|50,,,,,,,,,,,0,2,0.196,4,0,2,0.188,4,0.348,226,0.0,228,False
